Date,SP_lg_pr,f11_mu_lag1,f11_sd_lag1,f11_skew_lag1,f11_kurt_lag1,f11_p10_lag1,f11_p50_lag1,f11_p90_lag1,f11_prDec_lag1,f11_prInc_lag1,f12_mu_lag1,f12_sd_lag1,f12_skew_lag1,f12_kurt_lag1,f12_p10_lag1,f12_p50_lag1,f12_p90_lag1,f12_prDec_lag1,f12_prInc_lag1,SP_lg_pr_lag1,f11_mu_lag2,f11_sd_lag2,f11_skew_lag2,f11_kurt_lag2,f11_p10_lag2,f11_p50_lag2,f11_p90_lag2,f11_prDec_lag2,f11_prInc_lag2,f12_mu_lag2,f12_sd_lag2,f12_skew_lag2,f12_kurt_lag2,f12_p10_lag2,f12_p50_lag2,f12_p90_lag2,f12_prDec_lag2,f12_prInc_lag2,SP_lg_pr_lag2,f11_mu_lag3,f11_sd_lag3,f11_skew_lag3,f11_kurt_lag3,f11_p10_lag3,f11_p50_lag3,f11_p90_lag3,f11_prDec_lag3,f11_prInc_lag3,f12_mu_lag3,f12_sd_lag3,f12_skew_lag3,f12_kurt_lag3,f12_p10_lag3,f12_p50_lag3,f12_p90_lag3,f12_prDec_lag3,f12_prInc_lag3,SP_lg_pr_lag3,f11_mu_lag4,f11_sd_lag4,f11_skew_lag4,f11_kurt_lag4,f11_p10_lag4,f11_p50_lag4,f11_p90_lag4,f11_prDec_lag4,f11_prInc_lag4,f12_mu_lag4,f12_sd_lag4,f12_skew_lag4,f12_kurt_lag4,f12_p10_lag4,f12_p50_lag4,f12_p90_lag4,f12_prDec_lag4,f12_prInc_lag4,SP_lg_pr_lag4,f11_mu_lag5,f11_sd_lag5,f11_skew_lag5,f11_kurt_lag5,f11_p10_lag5,f11_p50_lag5,f11_p90_lag5,f11_prDec_lag5,f11_prInc_lag5,f12_mu_lag5,f12_sd_lag5,f12_skew_lag5,f12_kurt_lag5,f12_p10_lag5,f12_p50_lag5,f12_p90_lag5,f12_prDec_lag5,f12_prInc_lag5,SP_lg_pr_lag5,f11_mu_lag6,f11_sd_lag6,f11_skew_lag6,f11_kurt_lag6,f11_p10_lag6,f11_p50_lag6,f11_p90_lag6,f11_prDec_lag6,f11_prInc_lag6,f12_mu_lag6,f12_sd_lag6,f12_skew_lag6,f12_kurt_lag6,f12_p10_lag6,f12_p50_lag6,f12_p90_lag6,f12_prDec_lag6,f12_prInc_lag6,SP_lg_pr_lag6,Next_Week_SP_lg_pr,Predicted_Next_Week_SP_lg_pr
2021-05-12,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,-0.00861,0.19787,-1.45333,3.36386,-0.25778,0.02998,0.18875,0.13351,0.08441,0.00241,0.12748,-1.49168,3.91228,-0.15287,0.02509,0.13155,0.0681,0.01554,8.33882704390687,-0.00971,0.1992,-1.42266,3.26823,-0.26225,0.02829,0.18988,0.136,0.08606,0.00119,0.12896,-1.46015,3.78198,-0.15663,0.02401,0.13239,0.07053,0.01718,8.336491103853808,-0.01153,0.1993,-1.33693,2.97862,-0.26431,0.02482,0.19101,0.13873,0.0885,-3e-05,0.12879,-1.37839,3.46194,-0.15866,0.02157,0.13324,0.07116,0.01843,8.324738908950591,-0.01127,0.19792,-1.41486,3.26922,-0.26102,0.02636,0.18714,0.13589,0.0826,-0.00134,0.12773,-1.37742,3.57204,-0.15741,0.01925,0.13077,0.06998,0.0185,8.313840000411204,-0.01158,0.20754,-1.49361,3.52406,-0.2726,0.02964,0.19435,0.14132,0.09206,-0.00067,0.13792,-1.53243,3.97805,-0.16986,0.02475,0.13742,0.08038,0.02099,8.287249041612291,8.322559391311028,8.309901661711766
2021-05-19,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,-0.00861,0.19787,-1.45333,3.36386,-0.25778,0.02998,0.18875,0.13351,0.08441,0.00241,0.12748,-1.49168,3.91228,-0.15287,0.02509,0.13155,0.0681,0.01554,8.33882704390687,-0.00971,0.1992,-1.42266,3.26823,-0.26225,0.02829,0.18988,0.136,0.08606,0.00119,0.12896,-1.46015,3.78198,-0.15663,0.02401,0.13239,0.07053,0.01718,8.336491103853808,-0.01153,0.1993,-1.33693,2.97862,-0.26431,0.02482,0.19101,0.13873,0.0885,-3e-05,0.12879,-1.37839,3.46194,-0.15866,0.02157,0.13324,0.07116,0.01843,8.324738908950591,-0.01127,0.19792,-1.41486,3.26922,-0.26102,0.02636,0.18714,0.13589,0.0826,-0.00134,0.12773,-1.37742,3.57204,-0.15741,0.01925,0.13077,0.06998,0.0185,8.313840000411204,8.34188464205876,8.32160790784129
2021-05-26,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,-0.00861,0.19787,-1.45333,3.36386,-0.25778,0.02998,0.18875,0.13351,0.08441,0.00241,0.12748,-1.49168,3.91228,-0.15287,0.02509,0.13155,0.0681,0.01554,8.33882704390687,-0.00971,0.1992,-1.42266,3.26823,-0.26225,0.02829,0.18988,0.136,0.08606,0.00119,0.12896,-1.46015,3.78198,-0.15663,0.02401,0.13239,0.07053,0.01718,8.336491103853808,-0.01153,0.1993,-1.33693,2.97862,-0.26431,0.02482,0.19101,0.13873,0.0885,-3e-05,0.12879,-1.37839,3.46194,-0.15866,0.02157,0.13324,0.07116,0.01843,8.324738908950591,8.344771298924597,8.341365310832472
2021-06-02,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,-0.00861,0.19787,-1.45333,3.36386,-0.25778,0.02998,0.18875,0.13351,0.08441,0.00241,0.12748,-1.49168,3.91228,-0.15287,0.02509,0.13155,0.0681,0.01554,8.33882704390687,-0.00971,0.1992,-1.42266,3.26823,-0.26225,0.02829,0.18988,0.136,0.08606,0.00119,0.12896,-1.46015,3.78198,-0.15663,0.02401,0.13239,0.07053,0.01718,8.336491103853808,8.347483720059584,8.351182036791876
2021-06-09,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,-0.00861,0.19787,-1.45333,3.36386,-0.25778,0.02998,0.18875,0.13351,0.08441,0.00241,0.12748,-1.49168,3.91228,-0.15287,0.02509,0.13155,0.0681,0.01554,8.33882704390687,8.348466846304643,8.348922999711863
2021-06-16,8.348466846304643,-0.01107,0.19946,-1.47443,3.38552,-0.26424,0.02923,0.18733,0.13792,0.08174,-0.00172,0.13173,-1.50501,3.79283,-0.16438,0.02335,0.1308,0.07577,0.01516,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,-0.0074,0.20092,-1.42331,3.28953,-0.26061,0.03077,0.19483,0.13609,0.09283,0.00359,0.13155,-1.51661,3.91081,-0.15738,0.02828,0.13585,0.07204,0.01749,8.335093172640924,8.35275237957927,8.349527828506684
2021-06-23,8.35275237957927,-0.01118,0.19696,-1.46551,3.35786,-0.26093,0.02864,0.1843,0.13576,0.07791,-0.00135,0.1292,-1.49724,3.78523,-0.16064,0.02292,0.12858,0.07343,0.0141,8.348466846304643,-0.01107,0.19946,-1.47443,3.38552,-0.26424,0.02923,0.18733,0.13792,0.08174,-0.00172,0.13173,-1.50501,3.79283,-0.16438,0.02335,0.1308,0.07577,0.01516,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,-0.01796,0.21982,-1.36646,2.67889,-0.30875,0.0286,0.20129,0.16066,0.10217,-0.00775,0.16018,-1.40267,3.03663,-0.21445,0.02459,0.15341,0.10937,0.03746,8.30968675048015,8.365788737257004,8.352615614883687
2021-06-30,8.365788737257004,-0.0103,0.19272,-1.454,3.35226,-0.25414,0.0276,0.18195,0.1322,0.07539,-0.00035,0.12244,-1.54824,4.03799,-0.15001,0.02292,0.12187,0.06626,0.00918,8.35275237957927,-0.01118,0.19696,-1.46551,3.35786,-0.26093,0.02864,0.1843,0.13576,0.07791,-0.00135,0.1292,-1.49724,3.78523,-0.16064,0.02292,0.12858,0.07343,0.0141,8.348466846304643,-0.01107,0.19946,-1.47443,3.38552,-0.26424,0.02923,0.18733,0.13792,0.08174,-0.00172,0.13173,-1.50501,3.79283,-0.16438,0.02335,0.1308,0.07577,0.01516,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,-0.01727,0.2208,-1.43308,2.92154,-0.31088,0.03178,0.19922,0.16076,0.09879,-0.00502,0.15573,-1.58821,3.71606,-0.20389,0.02902,0.14569,0.1025,0.02792,8.322559391311028,8.379798318410614,8.36667083147887
2021-07-07,8.379798318410614,-0.00899,0.19112,-1.50431,3.52934,-0.25022,0.02964,0.17994,0.12906,0.07205,0.00019,0.12065,-1.51761,3.91094,-0.1477,0.02293,0.12147,0.06484,0.00899,8.365788737257004,-0.0103,0.19272,-1.454,3.35226,-0.25414,0.0276,0.18195,0.1322,0.07539,-0.00035,0.12244,-1.54824,4.03799,-0.15001,0.02292,0.12187,0.06626,0.00918,8.35275237957927,-0.01118,0.19696,-1.46551,3.35786,-0.26093,0.02864,0.1843,0.13576,0.07791,-0.00135,0.1292,-1.49724,3.78523,-0.16064,0.02292,0.12858,0.07343,0.0141,8.348466846304643,-0.01107,0.19946,-1.47443,3.38552,-0.26424,0.02923,0.18733,0.13792,0.08174,-0.00172,0.13173,-1.50501,3.79283,-0.16438,0.02335,0.1308,0.07577,0.01516,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,-0.01447,0.20473,-1.44308,3.3047,-0.27371,0.02616,0.18929,0.14356,0.08569,-0.00309,0.13733,-1.51579,3.81477,-0.17225,0.02295,0.13434,0.08167,0.01856,8.34188464205876,8.383501741411788,8.381940478765607
2021-07-14,8.383501741411788,-0.00761,0.19221,-1.49826,3.48786,-0.25157,0.03084,0.18368,0.12991,0.07586,0.00113,0.12228,-1.56384,4.09025,-0.14866,0.02481,0.12279,0.06588,0.00922,8.379798318410614,-0.00899,0.19112,-1.50431,3.52934,-0.25022,0.02964,0.17994,0.12906,0.07205,0.00019,0.12065,-1.51761,3.91094,-0.1477,0.02293,0.12147,0.06484,0.00899,8.365788737257004,-0.0103,0.19272,-1.454,3.35226,-0.25414,0.0276,0.18195,0.1322,0.07539,-0.00035,0.12244,-1.54824,4.03799,-0.15001,0.02292,0.12187,0.06626,0.00918,8.35275237957927,-0.01118,0.19696,-1.46551,3.35786,-0.26093,0.02864,0.1843,0.13576,0.07791,-0.00135,0.1292,-1.49724,3.78523,-0.16064,0.02292,0.12858,0.07343,0.0141,8.348466846304643,-0.01107,0.19946,-1.47443,3.38552,-0.26424,0.02923,0.18733,0.13792,0.08174,-0.00172,0.13173,-1.50501,3.79283,-0.16438,0.02335,0.1308,0.07577,0.01516,8.347483720059584,-0.01334,0.19801,-1.42782,3.27946,-0.26351,0.02512,0.18487,0.13783,0.07972,-0.00222,0.13255,-1.5094,3.77441,-0.16603,0.02293,0.13072,0.07738,0.01515,8.344771298924597,8.379926818944543,8.383732804295562
